NM_BAIRRO;NM_LOGRADO;NU_NUMERO;NM_COMPLEM
ROCINHA;CAMINHO DO BOIADEIRO;16;APT 302
ROCINHA;ESTRADA DA GAVEA;379;"""A"""
MANGUINHOS;RUA LEOPOLDO BULHOES 800 R2 QD 2;48;DBTB
ROCINHA;ESTRADA DA GAVEA;259;88 SOBRADO MACEGA
ROCINHA;TRAVESSA4 CAMPO ESPERANCA;23;
ROCINHA;RUA 2;10;TRAVESSA 04
ROCINHA;ESTRADA DA GAVEA;436;APT 502
ROCINHA;TRAVESSA ONZE;24;CASA
ROCINHA;RUA TRES / TRAVESSA DEZ;50;CASA 2
MANGUINHOS;SITUACAO DE RUA;;
MANGUINHOS;RUA AMARAL;11;
MANGUINHOS;AV DEMOCRATICOS;600;SITUACAO DE RUA
MANGUINHOS;RUA SAO LUIZ;10;CASA
MANGUINHOS;RUA ISA;19;
ROCINHA;ESTRADA DA GAVEA;500;APT 202
ROCINHA;RUA 4 TV 10;103;
ROCINHA;DIONEIA 750;;CAMINHO
MANGUINHOS;RUA SAO JOSE;48;B
ROCINHA;TV PALMAS;13;APT 204
ROCINHA;RUA DO CANAL;12;CASA 2
ROCINHA;RUA 2 ,TV 52;115;
ROCINHA;PADARIA SEU GERALDO;650;CASA A
ROCINHA;RUA DOIS;25;TRAVESSA 27
ROCINHA;TV ALEGRIA;2A;
ROCINHA;MARIA DO CARMO;S/N;
ROCINHA;ESTRADA DA GAVEA;307;CASA 5
ROCINHA;RUA 4 ,TRAV 14;170;CASA 201
ROCINHA;RUA CHACARA DA ALVORADA;12;CASA
MANGUINHOS;RUA MIRANDA;28;
ROCINHA;VILA ROUPA SUJA TRAVESSA 14;8;DBTB
ROCINHA;RUA DOIS;201;TRAVESSA 85
ROCINHA;VILA ROUPA SUJA;24;CASA 4
ROCINHA;TV MESOPOTANIA;11;N? 2
MANGUINHOS;;;
ROCINHA;RUA DOIS;17;TRAVESSA 36
ROCINHA;RUA DOIS;206;BLOCO 2 APT 206
MANGUINHOS;RUA LEOPOLDO BULHOES;530;VIA DAS PEDRAS N? 28
MANGUINHOS;RUA CAIO MARTINS;20;
ROCINHA;ESTRADA GAVEA 454;454;APT 204  BL 13
ROCINHA;RUA 4;15;APT 201
MANGUINHOS;;;
ROCINHA;VILA VERDE;72;
ROCINHA;RUA DOIS;;
ROCINHA;TRAVESSA 10;48;
ROCINHA;TRAVESSA 37;305;CASA 1
ROCINHA;TRAVESSA JORDAO;10;CASA 3
ROCINHA;RUA DOIS;;
ROCINHA;TUA 2 - TV 29 CASA S/N;;(ATRAS CENTRO COMINITARIO DA R
MANGUINHOS;RUA CARLOS CHAGAS;149;
MANGUINHOS;RUA NAZARE;48;A
MANGUINHOS;RUA DA ALEGRIA;5;CASA
MANGUINHOS;RUA CEARA;7;
MANGUINHOS;EST DE MANGUINHOS;14;CASA
ROCINHA;ESTRADA DA GAVEA;545;
MANGUINHOS;VIA A 2 CASA 48;;VILA DO PIERO
ROCINHA;ESTRADA DA GAVEA;259;CASA 1
ROCINHA;RUA QUATRO;92;CASA 10
ROCINHA;COM BOIADEIRO;29;203
ROCINHA;RUA TRES;;BECO 3 CASA 201
ROCINHA;RUA TRES;225;
ROCINHA;VILA RAIZ TRAVESSA 6;5;
ROCINHA;ESTRADA DA GAVEA;308;
ROCINHA;ESTRADA DA GAVEA;178;CASA 15 A   APARTAMENTO 301
ROCINHA;TRAVESSA TRINTA E SEIS;;
ROCINHA;RUA 4 - ESTRADA DA GAVEA;4;
ROCINHA;ESTRADA DA GAVEA;385;CASA 03 A
ROCINHA;TRAVESSA ESPERANCA;19;CASA 10 A
MANGUINHOS;RUA MARIANA;31;CASA
ROCINHA;MORADOR DE RUA;;
MANGUINHOS;RUA DOUTOR LUIZ GREGORIO DE SA;38;CASA
MANGUINHOS;RUA MARIANA;31;
ROCINHA;TRAVESSA ROMA;16;2?ANDAR
ROCINHA;EST DA GAVEA 523 - MORRO DA ALEGRIA;523;
ROCINHA;TRAVESSA OLIVEIRA;18;
MANGUINHOS;RUA SANTO OLAVO;2;
MANGUINHOS;RUA PEDRO LESSA;8;
MANGUINHOS;RUA SAO DANIEL;43;
ROCINHA;ESTRADA  DA GAVEA;409;CASA 08
MANGUINHOS;RUA PAU BRASIL;16;
MANGUINHOS;AVENIDA DOS DEMOCRATICOS;144;SOBRADO 456 FUNDOS
MANGUINHOS;RUA SAO JORGE;12;
MANGUINHOS;RUA NAZARE;39;
MANGUINHOS;RUA SAO JORGE;12;TERRACO 1
MANGUINHOS;RUA JK;24;
MANGUINHOS;RUA J K;3;
MANGUINHOS;AVENIDA LEOPOLDO BULHOES;800;RUA 2 QUADRA 2 CASA 26
MANGUINHOS;RUA DEMOCRATICOS;1298;
MANGUINHOS;BECO SAO COSME E DAMIAO;5;
ROCINHA;RUA DA MATA;19;CAS07
MANGUINHOS;RUA DAS ROSAS;28;
MANGUINHOS;RUA SAO LUIZ;16;
MANGUINHOS;AVENIDA DOS DEMOCRATICOS;626;APT 204
MANGUINHOS;RUA NOVA CAP;20;BECO DO TETEV
MANGUINHOS;RUA DA PAZ;18;
MANGUINHOS;RUA LEOPOLDO BULHOES;162;
MANGUINHOS;RUA RIBEIRO DANTAS;107;BLOCO 34
ROCINHA;ESTRADA DA GAVEA;453;CASA 102
ROCINHA;RU A 4 BECO 17;35;
ROCINHA;TRAVESSA GREGORIO;21;
ROCINHA;RUA JOSE INACIO;;CASA 08
ROCINHA;ESTRADA DA GAVEA;510;
MANGUINHOS;RUA DEPUTADO SAMIR JORGE;4;CASA 1
ROCINHA;RUA QUATRO 60 CS;;
ROCINHA;TRAVESSA PRIMAVERA;1;CASA 02
ROCINHA;RUA DO CANAL;47;CASA
ROCINHA;RUA UM;10;TRAVESSA TRINTA E QUATRO
ROCINHA;TRAVESSA DO VALE OITO B;2;
ROCINHA;ESTRADA DA GAVEA;259;
ROCINHA;RUA UM;23;
MANGUINHOS;RUA PROJETADA;26;QUADRA 2 CASA 20
ROCINHA;RUA DOIS;;
ROCINHA;TRAVESSA BELA VISTA;5;
MANGUINHOS;RUA LUCIA 23 FDS;;CASA BELFORD ROXO
MANGUINHOS;RUA NAZARE;38;DBTB
MANGUINHOS;RUA DA ALEGRIA;5;
MANGUINHOS;RUA SAO CRISTOVAO;3;
MANGUINHOS;VILA SAO SEBASTIAO;7;
MANGUINHOS;RUA GREGORIA DE SA;12;
MANGUINHOS;RUA ATLANTICA;128;CASA MP
MANGUINHOS;RUA SAO PEDRO;23;
MANGUINHOS;RUA 12  0 VILA DO JOAO;217;DBTB
MANGUINHOS;ESTRADA DE MANGUINHOS;299;
MANGUINHOS;RUA MARANHAO;43;
MANGUINHOS;RUA ISA;15;
MANGUINHOS;RUA DO PEDREGULHO;26;
MANGUINHOS;AV NOVO RIO;10;GVOEPT DBTB
MANGUINHOS;RUA PERMANBUCO;87;
MANGUINHOS;LEOPOLDO BULHOES;700;QD 15 CASA 09
ROCINHA;RUA DOIS;161;CASA 11
